school_name,area,address,level,bus,AddmissionLast Date
      Beatty Secondary SCHOOL,South,"1 Toa Payoh North, Toa Payoh, S(318990)",Secondary,28;56;73;88;93;105;153;155;159;163;157;231;232,
,,,,,
Queenstown Secondary School,South,"1 Strathmore Road, Queenstown, S(148800)",Secondary,33;51;64;111;120;139;145;186;970,
,,,,,
Serangoon Secondary School,North,"11 Upper Serangoon View, Hougang, S(534237)",Secondary,62;74;102;113;119;136;147;324,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Chij Our Lady Of Good Counsel,South,"2C Burghley Drive, Serangoon, S(558979)",Primary,135;136,
Ai Tong School,South,"100 Bright Hill Drive, Bishan, S(579646)",Primary,410;162;52,
,,,,,
EDGEFIELD SECONDARY SCHOOL,North,"36 Punggol Field, Punggol, S(828814)",Secondary,3;34;62;82;83;136,
,,,,,
,,,,,
Geylang Methodist School (Secondary),East,"2 Geylang East Central, Geylang, S(389705)",Secondary,40;62;63;80;100;125;134;153;155;158;180,
Hougang Secondary School,North,"2 Hougang Street 93, Hougang, S(534256)",Secondary,43;88;101;109;156;159;161;325;329,
,,,,,
Yio Chu Kang Primary School,North,"1 Hougang Street 51, Hougang, S(538720)",Primary,88;101;109;159;161;325,
,,,,,
,,,,,
,,,,,
,,,,,
Swiss Cottage Secondary School,West,"3 Bukit Batok Street 34, Bukit Batok, S(659322)",Secondary,945;187,
Meridian Primary School,East,"20 Pasir Ris St 71, Pasir Ris, S(518798)",Primary,3;359,
Guangyang Secondary School,South,"8 Bishan Street 12, Bishan, S(579807)",Secondary,410;13;56;57;59;88;93;157;163,
,,,,,
East View Secondary School,East,"3 Tampines Street 42, Tampines, S(529177)",Secondary,4;8;18;19;21;37;38;81,
Bedok Green Primary School,East,"1 Bedok South Ave 2, Bedok, S(469317)",Primary,2;9;12;24;31;34;38,
Naval Base Secondary School,North,"901 Yishun Ring Road, Yishun, S(768689)",Secondary,39;811;812;851;852;853;854;855;858;965;969,
,,,,,
,,,,,
St. Andrew'S Secondary School,South,"15 Francis Thomas Drive, Toa Payoh, S(359342)",Secondary,8;13;26;31;90;90A;107;133;142;147;853,
,,,,,
Jurong Primary SCHOol,West,"320 Jurong East Street 32, Jurong East, S(609476)",Primary,333,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
St. Gabriel'S Primary School,South,"220 Lorong Chuan, Serangoon, S(556742)",Primary,73;105;105A;159,
Zhenghua Primary School,West,"9 Fajar Road, Bukit Panjang, S(679002)",Primary,190;184;187;700;700A;921,
,,,,,
,,,,,
,,,,,
Rivervale Primary School,North,"80 Rivervale Drive, Seng Kang, S(545092)",Primary,86,
        Jiemin Primary SCHOol,North,"2 Yishun Street 71, Yishun, S(768515)",Primary,167;169;171;800;811,
Pioneer Primary SCHOOL,West,"23 Jurong West Street 81, Jurong West, S(649076)",Primary,243,
         JURONG WEST PRIMARY SCHOOL,West,"30 Jurong West St 61, Jurong West, S(648368)",Primary,257,
Alexandra Primary School,South,"2A Prince Charles Crescent, Bukit Merah, S(159016)",Primary,51;139;186;970,
,,,,,
,,,,,
,,,,,
Chongzheng Primary School,East,"1 Tampines Street 21, Tampines, S(529392)",Primary,3;17;18,
St. Joseph'S Institution Junior,South,"3 Essex Road, Novena, S(309331)",Primary,21;54;56;57;124;131;166;518;851,
,,,,,
Yishun Primary School,North,"500 Yishun Ring Road, Yishun, S(768679)",Primary,800;812,
Compassvale Secondary School,North,"51 Compassvale Crescent, Seng Kang, S(545083)",Secondary,27;82;83;86;88;89;89E;136;161;371;965,
,,,,,
Ngee Ann Secondary School,East,"1 Tampines Street 32, Tampines, S(529283)",Secondary,3;4;8;9;12;17;18;19;21;28;29;34;37;38;39;59;81;291;293;518;552,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Meridian Junior College,East,"21 Pasir Ris Street 71, Pasir Ris, S(518799)",Junior College,3;53;81;89,
Tao Nan School,East,"49 Marine Crescent, Marine Parade, S(449761)",Primary,13;16;31;36;43;48;55;134;196;197,
Park View Primary School,East,"60 Pasir Ris Drive 1, Pasir Ris, S(519524)",Primary,358;39;53;81;89,
,,,,,
,,,,,
Chongfu School,North,"170 Yishun Avenue 6, Yishun, S(768959)",Primary,811,
,,,,,
,,,,,
Pasir Ris Primary School,East,"5 Pasir Ris Street 21, Pasir Ris, S(518968)",Primary,3,
Anglo-Chinese Junior College,West,"25 Dover Close East, Queenstown, S(139745)",Junior College,74;95;100;105;106;111;145;147;191;196;198;602,
Juying Secondary School,West,"33 Jurong West Street 91, Jurong West, S(649038)",Secondary,99;241,
Radin Mas Primary School,South,"1 Bukit Purmei Avenue, Bukit Merah, S(99840)",Primary,123;131;275;65,
,,,,,
,,,,,
Tanjong Katong Secondary School,East,"130 Haig Road, Marine Parade, S(438796)",Secondary,10;16;31;32;33;40;76;135;197,
Ang Mo Kio Primary School,South,"20 Ang Mo Kio Avenue 3, Ang Mo Kio, S(569920)",Primary,76;132;165;166;169;200,
    balestier hill primary school,South,"565 Balestier Road, Novena, S(329927)",Primary,21;129;130;131;139;100,
,,,,,
,,,,,
,,,,,
Raffles Girls' Primary School,South,"21 Hillcrest Road, Bukit Timah, S(289072)",Primary,66;67;74;151;154;156;157;170;171;174;852;961,
,,,,,
Chij St. Theresa'S Convent,South,"160 Lower Delta Road, Bukit Merah, S(99138)",Secondary,65;121;123;123M;124;131;131M;195;195A;272;855,
,,,,,
EAST SPRING PRIMARY SCHOOL,East,"31 Tampines St 33, Tampines, S(529258)",Primary,291;28,
,,,,,
,,,,,
,,,,,
Bukit Merah Secondary School,South,"10 Lengkok Bahru, Bukit Merah, S(159050)",Secondary,14;32;33;63;64;120;123;132;139;145;147;153;196;197;198;765;855;961,
Bowen Secondary School,North,"2 Lorong Napiri, Hougang, S(547529)",Secondary,43;70;73;103;109;156;854;25;74;74E;76;112;132;147;165;55,
,,,,,
St. Joseph'S Institution,South,"38 Malcolm Road, Novena, S(308274)",Mixed Level,105;132;151;153;154;156;186;190;700;960;972,
,,,,,
Xishan Primary School,North,"8 Yishun Street 21, Yishun, S(768611)",Primary,800;801,
,,,,,
Queensway Secondary School,South,"2A Margaret Drive, Queenstown, S(149295)",Secondary,32;51;93;100;105;111;122;123;145;147;153;186;195;196;198;855;961;970,
First Toa Payoh Primary School,South,"7 Lorong 8 Toa Payoh, Toa Payoh, S(319252)",Primary,157;153;105;159;88;FS238,
Da Qiao Primary School,South,"8 Ang Mo Kio Street 54, Ang Mo Kio, S(569185)",Primary,265;74;165;55;76;73;268;88;132,
Oasis Primary School,East,"71 Edgefield Plains, Punggol, S(828716)",Primary,50;386,
,,,,,
Princess Elizabeth Primary School,West,"30 Bukit Batok West Avenue 3, Bukit Batok, S(659163)",Primary,174;157;178;66;941,
,,,,,
St. Hilda'S Secondary School,East,"2 Tampines Street 82, Tampines, S(528986)",Secondary,22;129;293,
ANDERSON SECONDARY SCHOOL,North,"10 Ang Mo Kio Street 53, Ang Mo Kio, S(569206)",Secondary,265;548;45;50;72,
,,,,,
,,,,,
Anglo-Chinese School (Independent),South,"121 Dover Road, Queenstown, S(139650)",Mixed Level,14;33;74;166;196,
Yishun Town Secondary School,North,"6 Yishun Street 21, Yishun, S(768610)",Secondary,39;85;171;800;803;804;806;811;812;851;852;853;853C;854;854E;855;856;857;859;860,
Chua Chu Kang Primary School,West,"20 Choa Chu Kang Avenue 2, Choa Chu Kang, S(689905)",Primary,300,
Fuchun Primary School,North,"23 Woodlands Avenue 1, Woodlands, S(739063)",Primary,187;856;912;925;950;960;961;963;963E;963R;966,
    damai primary school,East,"52 Bedok Reservoir Crescent, Bedok, S(479226)",Primary,228;66;65;22;21;5;506,
,,,,,
,,,,,
